DinhDanh:ID(Country),Nhan,Mota,LinkTrichRut,ThoiGianTrichRut
My0,My,Co tiem luc kinh te lon,https://xuanhung937556578.wordpress.com/,Tue Dec 25  2018
My1,My,Dan so: 30 trieu nguoi,https://violympic.vn/bong-da-c48.html,Mon Dec 24  2018
Anh2,Anh,Co tiem luc kinh te lon,https://techtalk.vn/category/dev,Sun Dec 23  2018
Viet_Nam3,Viet Nam,Chau Au,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Sat Dec 22  2018
Nhat4,Nhat,Co tiem luc kinh te lon,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Fri Dec 21  2018
Nga5,Nga,Chau Au,https://xuanhung937556578.wordpress.com/,Thu Dec 20  2018
Campuchia6,Campuchia,Dong Nam A,http://kenh14.vn/tv-show.chn,Wed Dec 19  2018
Nga7,Nga,Co tiem luc kinh te lon,http://kenh14.vn/tv-show.chn,Tue Dec 18  2018
Lao8,Lao,Chau My,https://violympic.vn/bong-da-c48.html,Mon Dec 17  2018
Phap9,Phap,Chau My,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Sun Dec 16  2018
Campuchia10,Campuchia,Co tiem luc kinh te lon,https://violympic.vn/bong-da-c48.html,Sat Dec 15  2018
My11,My,Dong Nam A,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Fri Dec 14  2018
Campuchia12,Campuchia,Co tiem luc kinh te lon,https://www.youtube.com/,Thu Dec 13  2018
Viet_Nam13,Viet Nam,Co tiem luc kinh te lon,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Wed Dec 12  2018
Anh14,Anh,Dong Nam A,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Tue Dec 11  2018
Nhat15,Nhat,Co tiem luc kinh te lon,https://search.maven.org/artifact/org.neo4j/neo4j-kernel/3.5.0/jar,Mon Dec 10  2018
Nhat16,Nhat,Dan so: 30 trieu nguoi,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Sun Dec 09  2018
Nga17,Nga,Co tiem luc kinh te lon,https://www.facebook.com/,Sat Dec 08  2018
Duc18,Duc,Chau Au,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Fri Dec 07  2018
Lao19,Lao,Chau My,https://xuanhung937556578.wordpress.com/,Thu Dec 06  2018
Anh20,Anh,Dong Nam A,https://linkerpt.com/lap-trinh,Wed Dec 05  2018
Phap21,Phap,Chau Au,https://www.facebook.com/,Tue Dec 04  2018
Phap22,Phap,Dong Nam A,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Mon Dec 03  2018
Nhat23,Nhat,Dan so: 30 trieu nguoi,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Sun Dec 02  2018
Lao24,Lao,Co tiem luc kinh te lon,http://kenh14.vn/tv-show.chn,Sat Dec 01  2018
Lao25,Lao,Co tiem luc kinh te lon,http://kenh14.vn/tv-show.chn,Fri Nov 30  2018
Nhat26,Nhat,Dan so: 30 trieu nguoi,https://www.youtube.com/,Thu Nov 29  2018
Nhat27,Nhat,Chau Au,https://violympic.vn/bong-da-c48.html,Wed Nov 28  2018
My28,My,Co tiem luc kinh te lon,https://techtalk.vn/category/dev,Tue Nov 27  2018
My29,My,Chau My,https://www.youtube.com/,Mon Nov 26  2018
Lao30,Lao,Dong Nam A,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Sun Nov 25  2018
Nga31,Nga,Chau My,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Sat Nov 24  2018
Viet_Nam32,Viet Nam,Dong Nam A,https://www.youtube.com/,Fri Nov 23  2018
Lao33,Lao,Dong Nam A,https://linkerpt.com/lap-trinh,Thu Nov 22  2018
Duc34,Duc,Chau Au,https://search.maven.org/artifact/org.neo4j/neo4j-kernel/3.5.0/jar,Wed Nov 21  2018
Viet_Nam35,Viet Nam,Chau My,http://kenh14.vn/tv-show.chn,Tue Nov 20  2018
Lao36,Lao,Chau My,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Mon Nov 19  2018
Anh37,Anh,Chau Au,https://www.24h.com.vn/bong-da-c48.html,Sun Nov 18  2018
My38,My,Co tiem luc kinh te lon,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Sat Nov 17  2018
Anh39,Anh,Chau Au,https://violympic.vn/bong-da-c48.html,Fri Nov 16  2018
Phap40,Phap,Dong Nam A,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Thu Nov 15  2018
Viet_Nam41,Viet Nam,Chau Au,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Wed Nov 14  2018
Nga42,Nga,Chau Au,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Tue Nov 13  2018
Anh43,Anh,Co tiem luc kinh te lon,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Mon Nov 12  2018
Duc44,Duc,Chau Au,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Sun Nov 11  2018
My45,My,Dan so: 30 trieu nguoi,https://www.youtube.com/,Sat Nov 10  2018
My46,My,Chau My,https://www.youtube.com/,Fri Nov 09  2018
My47,My,Dong Nam A,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Thu Nov 08  2018
