DinhDanh:ID(Organization),Nhan,Mota,LinkTrichRut,ThoiGianTrichRut,TruSo
BKSoftware0,BKSoftware,phone,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Tue Dec 25  2018,Toà nhà FPT Cầu Giấy
Apple1,Apple,IT,https://linkerpt.com/lap-trinh,Mon Dec 24  2018,Time City
FPT2,FPT,car,https://linkerpt.com/lap-trinh,Sun Dec 23  2018,Hồ Thiên Nga
FPT3,FPT,car,https://techtalk.vn/category/dev,Sat Dec 22  2018,Time City
Grab4,Grab,taxi,https://www.24h.com.vn/bong-da-c48.html,Fri Dec 21  2018,Toà nhà FPT Cầu Giấy
Bphone5,Bphone,software,https://violympic.vn/bong-da-c48.html,Thu Dec 20  2018,Trụ sở Apple Califonia
Bphone6,Bphone,phone,https://www.facebook.com/,Wed Dec 19  2018,Cung văn hoá hữa nghị Việt Xô
Apple7,Apple,taxi,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Tue Dec 18  2018,Time City
VinFast8,VinFast,taxi,http://kenh14.vn/tv-show.chn,Mon Dec 17  2018,Time City
Bphone9,Bphone,phone,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Sun Dec 16  2018,Toà nhà FPT Cầu Giấy
Bphone10,Bphone,car,https://xuanhung937556578.wordpress.com/,Sat Dec 15  2018,Lầu năm góc
Apple11,Apple,taxi,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Fri Dec 14  2018,Thư viện Tạ Quang Bửu
Apple12,Apple,phone,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Thu Dec 13  2018,Lầu năm góc
FPT13,FPT,phone,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Wed Dec 12  2018,Time City
BKSoftware14,BKSoftware,car,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Tue Dec 11  2018,Toà nhà FPT Cầu Giấy
VinFast15,VinFast,phone,http://kenh14.vn/tv-show.chn,Mon Dec 10  2018,Time City
BKSoftware16,BKSoftware,software,https://violympic.vn/bong-da-c48.html,Sun Dec 09  2018,Hồ Gươm
Apple17,Apple,phone,http://kenh14.vn/tv-show.chn,Sat Dec 08  2018,Time City
Foody18,Foody,software,https://www.facebook.com/,Fri Dec 07  2018,Time City
Bphone19,Bphone,phone,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Thu Dec 06  2018,Hồ Gươm
Apple20,Apple,Transporting,https://search.maven.org/artifact/org.neo4j/neo4j-kernel/3.5.0/jar,Wed Dec 05  2018,Hồ Thiên Nga
Foody21,Foody,IT,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Tue Dec 04  2018,Thư viện Tạ Quang Bửu
Apple22,Apple,IT,http://kenh14.vn/tv-show.chn,Mon Dec 03  2018,Cung văn hoá hữa nghị Việt Xô
FPT23,FPT,taxi,https://search.maven.org/artifact/org.neo4j/neo4j-kernel/3.5.0/jar,Sun Dec 02  2018,Cung văn hoá hữa nghị Việt Xô
VinFast24,VinFast,software,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Sat Dec 01  2018,Hồ Gươm
FPT25,FPT,Transporting,http://kenh14.vn/tv-show.chn,Fri Nov 30  2018,Hồ Thiên Nga
BKSoftware26,BKSoftware,software,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Thu Nov 29  2018,Cung văn hoá hữa nghị Việt Xô
BKSoftware27,BKSoftware,phone,https://www.24h.com.vn/bong-da-c48.html,Wed Nov 28  2018,Cung văn hoá hữa nghị Việt Xô
Apple28,Apple,software,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Tue Nov 27  2018,Thư viện Tạ Quang Bửu
Apple29,Apple,Transporting,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Mon Nov 26  2018,Trụ sở Apple Califonia
Foody30,Foody,car,http://kenh14.vn/tv-show.chn,Sun Nov 25  2018,Thư viện Tạ Quang Bửu
Foody31,Foody,IT,https://www.facebook.com/,Sat Nov 24  2018,Time City
Foody32,Foody,software,https://www.24h.com.vn/bong-da-c48.html,Fri Nov 23  2018,Lầu năm góc
Foody33,Foody,taxi,https://violympic.vn/bong-da-c48.html,Thu Nov 22  2018,Hồ Gươm
Apple34,Apple,Transporting,https://techtalk.vn/category/dev,Wed Nov 21  2018,Time City
BKSoftware35,BKSoftware,taxi,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Tue Nov 20  2018,Cung văn hoá hữa nghị Việt Xô
BKSoftware36,BKSoftware,software,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Mon Nov 19  2018,Hồ Thiên Nga
Bphone37,Bphone,phone,https://www.24h.com.vn/bong-da-c48.html,Sun Nov 18  2018,Thư viện Tạ Quang Bửu
Apple38,Apple,IT,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Sat Nov 17  2018,Toà nhà FPT Cầu Giấy
Apple39,Apple,phone,https://violympic.vn/bong-da-c48.html,Fri Nov 16  2018,Hồ Thiên Nga
Bphone40,Bphone,taxi,https://techtalk.vn/category/dev,Thu Nov 15  2018,Trụ sở Apple Califonia
Foody41,Foody,phone,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Wed Nov 14  2018,Hồ Gươm
VinFast42,VinFast,software,https://www.24h.com.vn/bong-da-c48.html,Tue Nov 13  2018,Thư viện Tạ Quang Bửu
Bphone43,Bphone,car,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Mon Nov 12  2018,Lầu năm góc
BKSoftware44,BKSoftware,taxi,https://techtalk.vn/category/dev,Sun Nov 11  2018,Time City
FPT45,FPT,IT,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Sat Nov 10  2018,Time City
Grab46,Grab,IT,https://techtalk.vn/category/dev,Fri Nov 09  2018,Lầu năm góc
Foody47,Foody,phone,https://www.youtube.com/,Thu Nov 08  2018,Cung văn hoá hữa nghị Việt Xô
Apple48,Apple,taxi,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Wed Nov 07  2018,Lầu năm góc
Grab49,Grab,taxi,https://techtalk.vn/category/dev,Tue Nov 06  2018,Trụ sở Apple Califonia
VinFast50,VinFast,phone,https://www.24h.com.vn/bong-da-c48.html,Mon Nov 05  2018,Hồ Thiên Nga
Bphone51,Bphone,phone,https://www.youtube.com/,Sun Nov 04  2018,Toà nhà FPT Cầu Giấy
Bphone52,Bphone,car,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Sat Nov 03  2018,Lầu năm góc
FPT53,FPT,car,http://kenh14.vn/tv-show.chn,Fri Nov 02  2018,Cung văn hoá hữa nghị Việt Xô
VinFast54,VinFast,car,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Thu Nov 01  2018,Hồ Thiên Nga
VinFast55,VinFast,taxi,http://kenh14.vn/tv-show.chn,Wed Oct 31  2018,Toà nhà FPT Cầu Giấy
VinFast56,VinFast,phone,https://violympic.vn/bong-da-c48.html,Tue Oct 30  2018,Thư viện Tạ Quang Bửu
VinFast57,VinFast,taxi,https://techtalk.vn/category/dev,Mon Oct 29  2018,Trụ sở Apple Califonia
Grab58,Grab,taxi,http://kenh14.vn/tv-show.chn,Sun Oct 28  2018,Hồ Thiên Nga
Grab59,Grab,phone,https://linkerpt.com/lap-trinh,Sat Oct 27  2018,Toà nhà FPT Cầu Giấy
VinFast60,VinFast,Transporting,https://xuanhung937556578.wordpress.com/,Fri Oct 26  2018,Time City
Bphone61,Bphone,software,https://violympic.vn/bong-da-c48.html,Thu Oct 25  2018,Hồ Thiên Nga
Apple62,Apple,IT,https://www.youtube.com/,Wed Oct 24  2018,Trụ sở Apple Califonia
Foody63,Foody,Transporting,https://search.maven.org/artifact/org.neo4j/neo4j-kernel/3.5.0/jar,Tue Oct 23  2018,Hồ Gươm
Apple64,Apple,phone,https://violympic.vn/bong-da-c48.html,Mon Oct 22  2018,Lầu năm góc
BKSoftware65,BKSoftware,IT,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Sun Oct 21  2018,Time City
Bphone66,Bphone,IT,http://kenh14.vn/tv-show.chn,Sat Oct 20  2018,Trụ sở Apple Califonia
VinFast67,VinFast,IT,https://www.24h.com.vn/bong-da-c48.html,Fri Oct 19  2018,Hồ Gươm
