DinhDanh:ID(Time),Nhan,Mota,LinkTrichRut,ThoiGianTrichRut
Tue_Dec_25__20180,,Tue Dec 25  2018,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Tue Dec 25  2018
Mon_Dec_24__20181,Tue Dec 25  2018,Mon Dec 24  2018,https://violympic.vn/bong-da-c48.html,Mon Dec 24  2018
Sun_Dec_23__20182,Mon Dec 24  2018,Sun Dec 23  2018,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Sun Dec 23  2018
Sat_Dec_22__20183,Sun Dec 23  2018,Sat Dec 22  2018,https://violympic.vn/bong-da-c48.html,Sat Dec 22  2018
Fri_Dec_21__20184,Sat Dec 22  2018,Fri Dec 21  2018,https://techtalk.vn/category/dev,Fri Dec 21  2018
Thu_Dec_20__20185,Fri Dec 21  2018,Thu Dec 20  2018,https://violympic.vn/bong-da-c48.html,Thu Dec 20  2018
Wed_Dec_19__20186,Thu Dec 20  2018,Wed Dec 19  2018,https://www.youtube.com/,Wed Dec 19  2018
Tue_Dec_18__20187,Wed Dec 19  2018,Tue Dec 18  2018,https://www.24h.com.vn/bong-da-c48.html,Tue Dec 18  2018
Mon_Dec_17__20188,Tue Dec 18  2018,Mon Dec 17  2018,https://violympic.vn/bong-da-c48.html,Mon Dec 17  2018
Sun_Dec_16__20189,Mon Dec 17  2018,Sun Dec 16  2018,http://kenh14.vn/tv-show.chn,Sun Dec 16  2018
Sat_Dec_15__201810,Sun Dec 16  2018,Sat Dec 15  2018,https://www.youtube.com/,Sat Dec 15  2018
Fri_Dec_14__201811,Sat Dec 15  2018,Fri Dec 14  2018,https://www.24h.com.vn/bong-da-c48.html,Fri Dec 14  2018
Thu_Dec_13__201812,Fri Dec 14  2018,Thu Dec 13  2018,https://www.youtube.com/,Thu Dec 13  2018
Wed_Dec_12__201813,Thu Dec 13  2018,Wed Dec 12  2018,https://www.facebook.com/,Wed Dec 12  2018
Tue_Dec_11__201814,Wed Dec 12  2018,Tue Dec 11  2018,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Tue Dec 11  2018
Mon_Dec_10__201815,Tue Dec 11  2018,Mon Dec 10  2018,https://search.maven.org/artifact/org.neo4j/neo4j-kernel/3.5.0/jar,Mon Dec 10  2018
Sun_Dec_09__201816,Mon Dec 10  2018,Sun Dec 09  2018,https://www.youtube.com/,Sun Dec 09  2018
Sat_Dec_08__201817,Sun Dec 09  2018,Sat Dec 08  2018,https://linkerpt.com/lap-trinh,Sat Dec 08  2018
Fri_Dec_07__201818,Sat Dec 08  2018,Fri Dec 07  2018,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Fri Dec 07  2018
Thu_Dec_06__201819,Fri Dec 07  2018,Thu Dec 06  2018,http://kenh14.vn/tv-show.chn,Thu Dec 06  2018
Wed_Dec_05__201820,Thu Dec 06  2018,Wed Dec 05  2018,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Wed Dec 05  2018
Tue_Dec_04__201821,Wed Dec 05  2018,Tue Dec 04  2018,https://search.maven.org/artifact/org.neo4j/neo4j-kernel/3.5.0/jar,Tue Dec 04  2018
Mon_Dec_03__201822,Tue Dec 04  2018,Mon Dec 03  2018,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Mon Dec 03  2018
Sun_Dec_02__201823,Mon Dec 03  2018,Sun Dec 02  2018,https://www.youtube.com/,Sun Dec 02  2018
Sat_Dec_01__201824,Sun Dec 02  2018,Sat Dec 01  2018,https://search.maven.org/artifact/org.neo4j/neo4j-kernel/3.5.0/jar,Sat Dec 01  2018
Fri_Nov_30__201825,Sat Dec 01  2018,Fri Nov 30  2018,https://www.24h.com.vn/bong-da-c48.html,Fri Nov 30  2018
Thu_Nov_29__201826,Fri Nov 30  2018,Thu Nov 29  2018,http://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,Thu Nov 29  2018
Wed_Nov_28__201827,Thu Nov 29  2018,Wed Nov 28  2018,https://www.youtube.com/,Wed Nov 28  2018
Tue_Nov_27__201828,Wed Nov 28  2018,Tue Nov 27  2018,https://www.youtube.com/,Tue Nov 27  2018
Mon_Nov_26__201829,Tue Nov 27  2018,Mon Nov 26  2018,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Mon Nov 26  2018
Sun_Nov_25__201830,Mon Nov 26  2018,Sun Nov 25  2018,https://www.24h.com.vn/bong-da-c48.html,Sun Nov 25  2018
